GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
powerball,1083,"Thursday 16 Feb 2017","24 25 29 22 15 26 ","16 "
powerball,1082,"Thursday 09 Feb 2017","11 23 16 33 31 21 ","2 "
powerball,1081,"Thursday 02 Feb 2017","40 35 31 20 28 23 ","3 "
powerball,1080,"Thursday 26 Jan 2017","36 38 23 8 40 6 ","2 "
powerball,1079,"Thursday 19 Jan 2017","32 22 31 33 10 35 ","19 "
powerball,1078,"Thursday 12 Jan 2017","36 11 29 4 14 26 ","17 "
powerball,1077,"Thursday 05 Jan 2017","36 8 23 39 31 6 ","15 "
powerball,1076,"Thursday 29 Dec 2016","4 24 6 31 3 25 ","13 "
powerball,1075,"Thursday 22 Dec 2016","10 4 29 16 39 26 ","18 "
powerball,1074,"Thursday 15 Dec 2016","36 13 30 37 8 22 ","11 "
powerball,1073,"Thursday 08 Dec 2016","38 13 3 5 20 37 ","14 "
powerball,1072,"Thursday 01 Dec 2016","38 34 37 9 12 23 ","7 "
powerball,1071,"Thursday 24 Nov 2016","12 25 18 5 40 13 ","5 "
powerball,1070,"Thursday 17 Nov 2016","34 4 16 10 40 24 ","11 "
powerball,1069,"Thursday 10 Nov 2016","26 23 7 19 37 30 ","5 "
powerball,1068,"Thursday 03 Nov 2016","8 40 26 35 23 22 ","6 "
powerball,1067,"Thursday 27 Oct 2016","38 21 17 36 16 2 ","7 "
powerball,1066,"Thursday 20 Oct 2016","12 25 22 5 34 8 ","17 "
powerball,1065,"Thursday 13 Oct 2016","8 2 13 36 31 6 ","15 "
powerball,1064,"Thursday 06 Oct 2016","37 33 12 32 9 21 ","18 "
powerball,1063,"Thursday 29 Sep 2016","4 8 18 39 28 36 ","18 "
powerball,1062,"Thursday 22 Sep 2016","16 33 28 20 23 14 ","11 "
powerball,1061,"Thursday 15 Sep 2016","13 12 27 29 2 32 ","12 "
powerball,1060,"Thursday 08 Sep 2016","31 25 9 28 17 10 ","2 "
powerball,1059,"Thursday 01 Sep 2016","11 22 14 3 18 13 ","9 "
powerball,1058,"Thursday 25 Aug 2016","12 39 22 32 25 24 ","11 "
powerball,1057,"Thursday 18 Aug 2016","37 40 33 18 9 3 ","8 "
powerball,1056,"Thursday 11 Aug 2016","4 35 17 24 7 12 ","4 "
powerball,1055,"Thursday 04 Aug 2016","16 3 38 8 17 24 ","5 "
powerball,1054,"Thursday 28 Jul 2016","1 21 24 36 5 32 ","20 "
powerball,1053,"Thursday 21 Jul 2016","12 36 9 30 22 14 ","3 "
powerball,1052,"Thursday 14 Jul 2016","13 31 26 6 8 30 ","1 "
powerball,1051,"Thursday 07 Jul 2016","4 22 23 32 14 9 ","19 "
powerball,1050,"Thursday 30 Jun 2016","14 31 1 13 4 33 ","12 "
powerball,1049,"Thursday 23 Jun 2016","36 17 35 40 8 10 ","13 "
powerball,1048,"Thursday 16 Jun 2016","11 17 37 3 24 29 ","3 "
powerball,1047,"Thursday 09 Jun 2016","31 24 5 38 7 13 ","8 "
powerball,1046,"Thursday 02 Jun 2016","10 25 39 31 19 2 ","6 "
powerball,1045,"Thursday 26 May 2016","15 35 8 5 29 31 ","9 "
powerball,1044,"Thursday 19 May 2016","7 11 26 29 22 24 ","20 "
powerball,1043,"Thursday 12 May 2016","8 10 26 19 18 36 ","5 "
powerball,1042,"Thursday 05 May 2016","1 20 38 11 2 25 ","5 "
powerball,1041,"Thursday 28 Apr 2016","24 20 9 31 2 8 ","1 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1040,"Thursday 21 Apr 2016","18 33 8 12 19 26 ","6 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
