218: 17 18 23 26 44 45 
219: 16 23 25 31 34 45 
220: 16 22 27 32 37 45 
221: 16 21 27 36 44 45 
222: 16 21 23 41 43 45 
223: 16 20 29 30 33 45 
224: 16 20 28 34 44 45 
225: 16 20 25 39 40 45 
226: 16 20 22 26 35 45 
227: 16 20 21 31 38 45 
228: 16 19 30 35 44 45 
229: 16 19 29 38 43 45 
230: 16 19 28 32 39 45 
231: 16 19 27 40 41 45 
232: 16 19 24 34 42 45 
233: 16 19 23 36 37 45 
234: 16 18 30 31 42 45 
235: 16 18 27 38 39 45 
236: 16 18 26 37 43 45 
237: 16 18 21 33 40 45 
238: 16 17 30 36 41 45 
239: 16 17 28 33 43 45 
240: 16 17 24 39 44 45 
241: 16 17 23 40 42 45 
242: 16 17 21 32 34 45 
243: 15 23 25 28 30 45 
244: 15 22 27 31 33 45 
245: 15 21 25 36 43 45 
246: 15 21 23 34 37 45 
247: 15 20 28 33 36 45 
248: 15 20 26 30 38 45 
249: 15 20 24 39 42 45 
250: 15 20 23 29 41 45 
251: 15 19 30 39 40 45 
252: 15 19 27 34 44 45 
253: 15 19 24 37 38 45 
254: 15 19 23 32 35 45 
255: 15 19 20 22 25 45 
256: 15 18 29 30 43 45 
257: 15 18 26 35 40 45 
258: 15 18 25 41 42 45 
259: 15 18 23 36 39 45 
260: 15 18 21 38 44 45 
261: 15 17 28 34 41 45 
262: 15 17 27 32 43 45 
263: 15 17 24 25 31 45 
264: 15 17 20 35 44 45 
265: 15 17 18 33 37 45 
266: 15 16 32 36 38 45 
267: 15 16 31 40 43 45 
268: 15 16 28 29 35 45 
269: 15 16 26 33 44 45 
270: 15 16 22 34 39 45 
271: 14 22 23 27 40 45 
272: 14 21 22 31 41 45 
273: 14 20 24 29 38 45 
274: 14 20 23 37 44 45 
275: 14 20 22 28 30 45 
276: 14 20 21 35 42 45 
277: 14 19 30 31 36 45 
278: 14 19 26 28 34 45 
279: 14 19 23 39 41 45 
280: 14 19 22 33 35 45 
281: 14 19 21 38 40 45 
282: 14 18 26 29 36 45 
283: 14 18 24 32 39 45 
284: 14 18 23 38 43 45 
285: 14 18 21 27 30 45 
286: 14 17 28 36 42 45 
287: 14 17 26 31 35 45 
288: 14 17 25 34 39 45 
289: 14 17 23 29 30 45 
290: 14 16 29 41 44 45 
